Time, Rc (Maximum a Posteriori)
175,0.20401918
175,0.20401918
175,0.20401918
175,0.20401918
175,0.20401918
175,0.20401918
175,0.20401918
175,0.20401918
175,0.20401918
175,0.20401918
176,0.261591956
176,0.261591956
176,0.261591956
176,0.261591956
176,0.261591956
177,0.239056608
177,0.239056608
177,0.239056608
177,0.239056608
177,0.239056608
177,0.239056608
177,0.239056608
178,0.241619396
178,0.241619396
178,0.241619396
178,0.241619396
178,0.241619396
179,0.137854717
179,0.137854717
180,0.071487135
180,0.071487135
180,0.071487135
181,0.301223917
181,0.301223917
181,0.301223917
181,0.301223917
181,0.301223917
181,0.301223917
181,0.301223917
181,0.301223917
181,0.301223917
181,0.301223917
182,0.462750026
182,0.462750026
183,0.631913851
183,0.631913851
183,0.631913851
184,0.532324467
184,0.532324467
184,0.532324467
184,0.532324467
184,0.532324467
185,0.362987372
185,0.362987372
185,0.362987372
185,0.362987372
186,0.314304814
186,0.314304814
186,0.314304814
187,0.200490381
187,0.200490381
187,0.200490381
188,0.224383451
188,0.224383451
189,0.352316477
189,0.352316477
189,0.352316477
189,0.352316477
189,0.352316477
190,0.410420285
190,0.410420285
190,0.410420285
190,0.410420285
191,0.291730715
192,0.415701562
192,0.415701562
193,0.380661544
194,0.258988923
194,0.258988923
194,0.258988923
194,0.258988923
194,0.258988923
195,0.243297969
195,0.243297969
195,0.243297969
195,0.243297969
196,0.146706034
196,0.146706034
196,0.146706034
196,0.146706034
196,0.146706034
196,0.146706034
197,0.061977055
197,0.061977055
197,0.061977055
197,0.061977055
198,0.118150549
198,0.118150549
198,0.118150549
199,0.073714123
199,0.073714123
199,0.073714123
200,0.050386804
200,0.050386804
200,0.050386804
200,0.050386804
200,0.050386804
200,0.050386804
200,0.050386804
201,0.120265053
201,0.120265053
201,0.120265053
202,0.355746651
202,0.355746651
202,0.355746651
202,0.355746651
202,0.355746651
202,0.355746651
202,0.355746651
203,0.708278756
203,0.708278756
203,0.708278756
203,0.708278756
205,0.840295734
205,0.840295734
205,0.840295734
206,0.652420574
206,0.652420574
206,0.652420574
206,0.652420574
207,0.41882192
208,0.612829515
208,0.612829515
208,0.612829515
209,0.537800622
209,0.537800622
210,0.470797489
210,0.470797489
210,0.470797489
212,0.358423407
212,0.358423407
212,0.358423407
212,0.358423407
212,0.358423407
213,0.321256997
213,0.321256997
213,0.321256997
213,0.321256997
214,0.253361796
214,0.253361796
215,0.435943601
215,0.435943601
215,0.435943601
215,0.435943601
216,0.566592602
216,0.566592602
216,0.566592602
217,0.5123753
217,0.5123753
217,0.5123753
218,0.389200954
219,0.238014261
219,0.238014261
219,0.238014261
219,0.238014261
219,0.238014261
220,0.079817424
220,0.079817424
220,0.079817424
221,0.062219241
221,0.062219241
221,0.062219241
221,0.062219241
221,0.062219241
222,0.116672541
222,0.116672541
222,0.116672541
223,0.357325602
223,0.357325602
223,0.357325602
224,0.339030403
224,0.339030403
224,0.339030403
225,0.239420713
225,0.239420713
225,0.239420713
225,0.239420713
225,0.239420713
225,0.239420713
226,0.256994041
226,0.256994041
226,0.256994041
226,0.256994041
226,0.256994041
226,0.256994041
226,0.256994041
227,0.150427793
227,0.150427793
227,0.150427793
227,0.150427793
227,0.150427793
228,0.179395333
228,0.179395333
228,0.179395333
228,0.179395333
229,0.267409206
230,0.181807192
230,0.181807192
230,0.181807192
231,0.133891405
231,0.133891405
231,0.133891405
231,0.133891405
232,0.082068446
232,0.082068446
232,0.082068446
233,0.027818115
233,0.027818115
233,0.027818115
234,2.57E-13
235,0.280890544
235,0.280890544
235,0.280890544
235,0.280890544
235,0.280890544
235,0.280890544
235,0.280890544
235,0.280890544
235,0.280890544
235,0.280890544
236,0.752648671
237,0.695624863
237,0.695624863
238,0.524381079
239,0.394880283
239,0.394880283
240,0.434515942
240,0.434515942
240,0.434515942
240,0.434515942
241,0.373619951
241,0.373619951
241,0.373619951
242,0.381937384
242,0.381937384
242,0.381937384
242,0.381937384
242,0.381937384
243,0.489888265
243,0.489888265
243,0.489888265
244,0.681752324
244,0.681752324
244,0.681752324
245,0.814921238
245,0.814921238
245,0.814921238
245,0.814921238
245,0.814921238
245,0.814921238
247,0.681881759
247,0.681881759
247,0.681881759
248,0.54595666
249,0.392743299
249,0.392743299
249,0.392743299
250,0.335666008
250,0.335666008
251,0.401834591
251,0.401834591
251,0.401834591
251,0.401834591
251,0.401834591
252,0.41197101
252,0.41197101
252,0.41197101
252,0.41197101
252,0.41197101
254,0.305526
254,0.305526
254,0.305526
254,0.305526
255,0.254081816
255,0.254081816
256,0.247530715
256,0.247530715
256,0.247530715
256,0.247530715
256,0.247530715
256,0.247530715
257,0.238777914
257,0.238777914
257,0.238777914
257,0.238777914
258,0.144382992
258,0.144382992
258,0.144382992
259,0.161402228
259,0.161402228
259,0.161402228
259,0.161402228
260,0.094040995
260,0.094040995
260,0.094040995
260,0.094040995
260,0.094040995
260,0.094040995
261,0.04682252
261,0.04682252
262,0.131560569
262,0.131560569
262,0.131560569
262,0.131560569
262,0.131560569
262,0.131560569
263,0.270641372
263,0.270641372
263,0.270641372
263,0.270641372
264,0.392120676
264,0.392120676
264,0.392120676
264,0.392120676
265,0.326557115
265,0.326557115
266,0.207870165
266,0.207870165
266,0.207870165
267,0.14067078
267,0.14067078
267,0.14067078
268,0.173177121
268,0.173177121
268,0.173177121
268,0.173177121
269,0.297314051
269,0.297314051
269,0.297314051
269,0.297314051
269,0.297314051
270,0.509180222
270,0.509180222
271,0.391261563
272,0.310924729
272,0.310924729
272,0.310924729
272,0.310924729
273,0.495084042
273,0.495084042
274,0.581758247
275,0.558477898
275,0.558477898
276,0.625246488
276,0.625246488
276,0.625246488
277,0.522735061
278,0.346537274
278,0.346537274
280,0.201202605
280,0.201202605
280,0.201202605
281,0.265006297
281,0.265006297
281,0.265006297
282,0.188136959
282,0.188136959
283,0.138676237
283,0.138676237
283,0.138676237
284,0.085169187
284,0.085169187
285,0.029143213
286,2.70E-13
286,2.70E-13
287,0.142341958
287,0.142341958
287,0.142341958
287,0.142341958
288,0.119114928
289,0.092518327
289,0.092518327
290,0.199501279
290,0.199501279
292,0.122658484
292,0.122658484
293,0.095270659
293,0.095270659
293,0.095270659
294,0.077231263
294,0.077231263
295,0.172548529
295,0.172548529
296,0.394800898
297,0.323361671
297,0.323361671
297,0.323361671
297,0.323361671
298,0.242712104
298,0.242712104
298,0.242712104
299,0.265147695
300,0.297147662
300,0.297147662
301,0.265717564
302,0.215052384
302,0.215052384
302,0.215052384
303,0.662734542
303,0.662734542
304,0.704195149
304,0.704195149
306,0.591757322
307,0.486491143
307,0.486491143
310,0.276414712
310,0.276414712
311,0.20280769
311,0.20280769
313,0.084348025
313,0.084348025
313,0.084348025
315,3.96E-13
315,3.96E-13
315,3.96E-13
316,0.427252156
316,0.427252156
318,0.9160941
319,0.889447662
320,0.679706762
320,0.679706762
320,0.679706762
320,0.679706762
321,0.590343688
321,0.590343688
321,0.590343688
322,0.369648491
323,0.265513655
323,0.265513655
324,0.195625363
324,0.195625363
324,0.195625363
324,0.195625363
325,0.375145219
327,0.493410064
327,0.493410064
327,0.493410064
330,0.316916929
333,0.778639122
334,0.644081496
336,0.41863512
337,0.28615528
337,0.28615528
338,0.342735652
338,0.342735652
338,0.342735652
338,0.342735652
